time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.62137792153e-07,3.31623346711e-08,10.0022109122,6.28277714009,6.28268206137,0.0,5.40863484821e-06,-1.33594025337e-05,0.0736945145651,-0.0260740224459,-0.0359049126025,0.0,430.5604499414292,427.512568189412,429.01358690901816,426.7944213333294
0.12000000000000001,2.13864309159e-05,-1.79028563099e-05,10.0134252309,6.28089247114,6.28103273962,0.0,0.000941174272134,-0.00078905341581,0.300082954852,-0.0450993128518,-0.01448277439,0.0,474.55816605902714,476.1991718514673,476.011377915529,474.5531472092628
0.18,0.000137098188485,-0.000135898471024,10.0395079997,6.27759340195,6.27966980461,0.0,0.00304465179459,-0.00349513139629,0.569245919592,-0.0985180940832,-0.0492526279839,0.0,489.3272822861755,486.732312814905,489.4856949219343,485.4920284443497
0.23999999999999996,0.000401820329377,-0.000480663558514,10.0761898047,6.27146374226,6.27636356894,0.0,0.00608748153424,-0.00859552166894,0.653430082694,-0.110670867797,-0.0705972787551,0.0,432.60942557147007,430.80635939861617,433.23288600955357,432.2005368074369
0.3,0.000954382121616,-0.00131464761398,10.1223481346,6.26518920435,6.27189855562,0.0,0.0128569966633,-0.0199837849185,0.88501499489,-0.0945577975481,-0.0834218019104,0.0,477.9080324688814,476.92568112907406,476.6288976790956,477.8497231911003
0.36000000000000004,0.00197205445499,-0.00289766513478,10.177947689,6.25915762579,6.26652006876,0.0,0.0215769417322,-0.0333605068139,0.968217782551,-0.116442607943,-0.106512978097,0.0,433.6792017309202,431.7282740339359,433.038747934816,431.18474752244924
0.4200000000000001,0.00358009235228,-0.00534344634873,10.2359308549,6.2516501717,6.25990155414,0.0,0.0325870367269,-0.0487828233319,0.964530020219,-0.154582471621,-0.119242455033,0.0,404.73341127750075,403.5740130740432,405.05535858185596,401.5938521796627
0.48000000000000015,0.00609116374103,-0.00902106049461,10.2987428095,6.24178211724,6.25324351855,0.0,0.0518782829779,-0.074840100038,1.1289963917,-0.207691207781,-0.0981404224248,0.0,457.17018041995067,458.8374928791181,460.23952667165037,455.98936229271163
0.5400000000000001,0.00980667594986,-0.0143600806703,10.3682243647,6.22920214208,6.24728238826,0.0,0.072538034882,-0.104322708114,1.18692143601,-0.213933660967,-0.101890893619,0.0,424.3547701239032,424.02371358194324,426.0474205892224,425.46793850349627
0.6000000000000002,0.0149392052456,-0.0218045156897,10.4428113039,6.21733696179,6.24130835221,0.0,0.0991694347439,-0.145087032829,1.2990866335,-0.176877110165,-0.0952869576285,0.0,442.8758808482101,443.41007306183025,440.7548721341188,443.766550497419
0.6600000000000003,0.0217031965992,-0.0317935094742,10.5219981741,6.20673943234,6.23532429321,0.0,0.126839652441,-0.188864279991,1.34032919851,-0.17612767562,-0.110566305992,0.0,420.6175669810735,419.2829895102816,420.60372654915966,420.6366190005076
0.7200000000000003,0.0302404666411,-0.0446034380683,10.6035703326,6.19627212257,6.22844828893,0.0,0.158360642371,-0.23910424371,1.37857887019,-0.171308400594,-0.124210417082,0.0,419.9423638779789,418.7445407605199,419.74637736063573,420.13312060974624
0.7800000000000004,0.0413535390255,-0.061494944079,10.6972142589,6.18657837549,6.22132414953,0.0,0.213075436905,-0.325299046434,1.7421994875,-0.147011830337,-0.109579399222,0.0,516.9580722111515,517.9772745175192,515.9304301743986,517.6215482807321
0.8400000000000004,0.0551191842903,-0.0825381792586,10.7995536495,6.17782317671,6.21437883771,0.0,0.246300008257,-0.37682243303,1.66910974705,-0.14382357647,-0.132451611546,0.0,384.2391124776991,382.0499199634111,382.08128095698896,382.36137536804944
0.9000000000000005,0.0714727876339,-0.107539510082,10.9043059167,6.16938486048,6.20619548586,0.0,0.299689915035,-0.457461465969,1.82220936012,-0.134934074236,-0.145721910786,0.0,458.819003468949,457.74755864962793,457.7348419032346,458.4238725434815
0.9600000000000005,0.0913294251421,-0.137729041625,11.0196429254,6.16206427101,6.1975197577,0.0,0.363190312762,-0.549700123468,2.02180352648,-0.104103325457,-0.142435221483,0.0,473.5044765868749,473.73910705617277,471.4225587375996,473.7855550350553
1.0200000000000005,0.114971822916,-0.173298872041,11.1443183508,6.15574296547,6.18937705364,0.0,0.425735278502,-0.63658086247,2.13364400261,-0.10798178985,-0.124853831183,0.0,446.7529635388494,448.16701844456986,447.5710455361734,447.2456535049436
1.0800000000000005,0.142211143605,-0.213779599041,11.2723060593,6.14895248345,6.18161246701,0.0,0.482902733268,-0.713347902272,2.13243739161,-0.126365440795,-0.140568303489,0.0,412.5459134436968,411.1390358170935,411.36800225252193,409.7240985965901
1.1400000000000006,0.173600806231,-0.259748151183,11.405749961,6.14149111537,6.1736243355,0.0,0.564314443449,-0.819736418306,2.31505836328,-0.120616799004,-0.121359032118,0.0,469.62578997421343,471.097834885279,470.5056787167146,470.9373953092685
1.2000000000000006,0.210020919946,-0.312225741801,11.5497930711,6.13415762846,6.16647960278,0.0,0.650454015125,-0.930273110579,2.48573399592,-0.125648384748,-0.11487329428,0.0,468.15490603722714,468.6472815646081,468.3159654679545,467.9117315164044
1.2600000000000007,0.251702183612,-0.371416729501,11.7034612968,6.12702250387,6.15993651503,0.0,0.739604724572,-1.04349771826,2.63590456882,-0.108051342898,-0.099409618154,0.0,462.48864529234845,463.69487916013844,462.96760657451404,464.3377916497107
